,settlementDate,settlementPeriod,marketIndexPrice,marketIndexVolume
0,2018-10-09,1,56.38,184.450
1,2018-10-09,2,53.87,254.500
2,2018-10-09,3,63.51,321.500
3,2018-10-09,4,64.58,282.000
4,2018-10-09,5,65.71,419.000
5,2018-10-09,6,65.03,345.500
6,2018-10-09,7,69.39,329.250
7,2018-10-09,8,70.01,411.150
8,2018-10-09,9,71.50,582.750
9,2018-10-09,10,72.77,662.750
10,2018-10-09,11,80.79,973.300
11,2018-10-09,12,79.15,1032.150
12,2018-10-09,13,79.86,814.800
13,2018-10-09,14,80.11,933.750
14,2018-10-09,15,80.54,470.150
15,2018-10-09,16,91.32,403.900
16,2018-10-09,17,84.57,548.300
17,2018-10-09,18,85.36,352.000
18,2018-10-09,19,73.20,301.000
19,2018-10-09,20,69.31,504.550
20,2018-10-09,21,65.62,798.000
21,2018-10-09,22,62.03,1044.000
22,2018-10-09,23,60.29,893.500
23,2018-10-09,24,59.57,1058.000
24,2018-10-09,25,59.76,1088.000
25,2018-10-09,26,59.04,1132.500
26,2018-10-09,27,57.92,1048.000
27,2018-10-09,28,58.24,1025.600
28,2018-10-09,29,57.26,1124.850
29,2018-10-09,30,56.82,1195.600
30,2018-10-09,31,66.20,1433.000
31,2018-10-09,32,68.09,1279.050
32,2018-10-09,33,70.84,1407.700
33,2018-10-09,34,75.16,1963.150
34,2018-10-09,35,82.73,2146.850
35,2018-10-09,36,84.55,1880.700
36,2018-10-09,37,85.71,2008.250
37,2018-10-09,38,89.46,2037.000
38,2018-10-09,39,0.00,0.000
39,2018-10-09,40,0.00,0.000
40,2018-10-09,41,79.90,1267.000
41,2018-10-09,42,73.17,1177.650
42,2018-10-09,43,69.60,1006.150
43,2018-10-09,44,69.25,960.900
44,2018-10-09,45,68.24,1033.750
45,2018-10-09,46,66.91,1266.350
46,2018-10-09,47,63.52,112.250
47,2018-10-09,48,58.52,201.800
48,2018-10-10,1,57.91,195.500
49,2018-10-10,2,49.95,308.500
50,2018-10-10,3,49.81,387.000
51,2018-10-10,4,48.39,405.500
52,2018-10-10,5,47.41,426.750
53,2018-10-10,6,46.90,494.600
54,2018-10-10,7,54.15,245.500
55,2018-10-10,8,53.39,178.000
56,2018-10-10,9,52.33,418.950
57,2018-10-10,10,52.11,380.500
58,2018-10-10,11,55.76,369.500
59,2018-10-10,12,56.44,446.300
60,2018-10-10,13,64.43,850.150
61,2018-10-10,14,65.17,1237.500
62,2018-10-10,15,67.23,287.500
63,2018-10-10,16,86.06,527.500
64,2018-10-10,17,86.19,581.000
65,2018-10-10,18,81.96,383.000
66,2018-10-10,19,72.14,652.900
67,2018-10-10,20,71.25,635.650
68,2018-10-10,21,70.09,825.900
69,2018-10-10,22,68.24,996.450
70,2018-10-10,23,57.32,1166.650
71,2018-10-10,24,57.13,1160.800
72,2018-10-10,25,58.77,1379.900
73,2018-10-10,26,59.49,1473.400
74,2018-10-10,27,57.64,1374.250
75,2018-10-10,28,57.18,1407.750
76,2018-10-10,29,56.57,1556.950
77,2018-10-10,30,56.25,1613.300
78,2018-10-10,31,63.81,673.050
79,2018-10-10,32,62.06,762.300
80,2018-10-10,33,62.81,751.650
81,2018-10-10,34,63.71,952.350
82,2018-10-10,35,71.79,1133.550
83,2018-10-10,36,73.33,1211.050
84,2018-10-10,37,75.85,1198.500
85,2018-10-10,38,78.66,1326.000
86,2018-10-10,39,78.86,511.600
87,2018-10-10,40,75.40,578.400
88,2018-10-10,41,73.02,684.400
89,2018-10-10,42,70.03,809.600
90,2018-10-10,43,63.40,1075.600
91,2018-10-10,44,61.16,1156.350
92,2018-10-10,45,60.68,1160.100
93,2018-10-10,46,58.01,1509.650
94,2018-10-10,47,68.97,387.450
95,2018-10-10,48,56.46,252.800
96,2018-10-11,1,53.35,295.050
97,2018-10-11,2,50.35,411.000
98,2018-10-11,3,47.27,345.500
99,2018-10-11,4,47.46,499.750
100,2018-10-11,5,48.15,459.500
101,2018-10-11,6,52.26,545.550
102,2018-10-11,7,58.48,511.300
103,2018-10-11,8,59.60,618.300
104,2018-10-11,9,60.66,761.900
105,2018-10-11,10,60.49,755.500
106,2018-10-11,11,63.63,554.400
107,2018-10-11,12,62.12,718.000
108,2018-10-11,13,59.69,859.950
109,2018-10-11,14,53.90,1387.100
110,2018-10-11,15,55.06,580.850
111,2018-10-11,16,62.90,588.200
112,2018-10-11,17,68.25,531.750
113,2018-10-11,18,62.90,345.000
114,2018-10-11,19,57.33,640.150
115,2018-10-11,20,56.73,789.250
116,2018-10-11,21,56.67,941.950
117,,,,
118,,,,
119,,,,
120,,,,
121,,,,
122,,,,
123,,,,
124,,,,
125,,,,
126,,,,
127,,,,
128,,,,
129,,,,
130,,,,
131,,,,
132,,,,
133,,,,
134,,,,
135,,,,
136,,,,
137,,,,
138,,,,
139,,,,
140,,,,
141,,,,
142,,,,
143,,,,
