ignore,date,period,French,Irish,Dutch,East-West
INTOUTHH,20181010,1,1556,180,714,504
INTOUTHH,20181010,2,1554,180,712,504
INTOUTHH,20181010,3,1554,180,712,504
INTOUTHH,20181010,4,1556,180,712,504
INTOUTHH,20181010,5,1286,180,712,504
INTOUTHH,20181010,6,1282,180,710,504
INTOUTHH,20181010,7,1308,180,470,504
INTOUTHH,20181010,8,1308,180,466,504
INTOUTHH,20181010,9,1358,180,468,504
INTOUTHH,20181010,10,1358,180,470,504
INTOUTHH,20181010,11,1292,180,526,504
INTOUTHH,20181010,12,1294,180,490,504
INTOUTHH,20181010,13,1002,180,0,504
INTOUTHH,20181010,14,992,180,0,504
INTOUTHH,20181010,15,1866,180,714,472
INTOUTHH,20181010,16,1872,158,852,422
INTOUTHH,20181010,17,1998,38,1054,272
INTOUTHH,20181010,18,1998,34,1058,178
INTOUTHH,20181010,19,1800,154,1008,40
INTOUTHH,20181010,20,1806,100,1006,0
INTOUTHH,20181010,21,712,116,832,0
INTOUTHH,20181010,22,700,116,830,2
INTOUTHH,20181010,23,-266,180,1054,86
INTOUTHH,20181010,24,-278,180,1058,36
INTOUTHH,20181010,25,40,180,1002,66
INTOUTHH,20181010,26,50,180,1000,98
INTOUTHH,20181010,27,336,180,1000,248
INTOUTHH,20181010,28,352,180,1000,328
INTOUTHH,20181010,29,498,180,1000,464
INTOUTHH,20181010,30,512,180,994,420
INTOUTHH,20181010,31,1104,180,526,384
INTOUTHH,20181010,32,1108,174,510,388
INTOUTHH,20181010,33,1498,180,320,360
INTOUTHH,20181010,34,1498,180,340,462
INTOUTHH,20181010,35,1500,180,1036,438
INTOUTHH,20181010,36,1498,180,1058,504
INTOUTHH,20181010,37,1498,180,1058,504
INTOUTHH,20181010,38,1498,180,1058,504
INTOUTHH,20181010,39,1498,180,1058,504
INTOUTHH,20181010,40,1498,180,1058,504
INTOUTHH,20181010,41,1498,180,1060,490
INTOUTHH,20181010,42,1498,180,1058,400
INTOUTHH,20181010,43,1498,180,1002,490
INTOUTHH,20181010,44,1498,180,996,504
INTOUTHH,20181010,45,1498,180,638,504
INTOUTHH,20181010,46,1498,178,626,504
INTOUTHH,20181010,47,1304,154,802,504
INTOUTHH,20181010,48,1300,154,806,504
INTOUTHH,20181011,1,1204,154,640,504
INTOUTHH,20181011,2,1204,154,638,504
INTOUTHH,20181011,3,1204,154,706,504
INTOUTHH,20181011,4,1204,154,708,504
INTOUTHH,20181011,5,1204,154,616,504
INTOUTHH,20181011,6,1204,154,614,504
INTOUTHH,20181011,7,1204,154,710,504
INTOUTHH,20181011,8,1204,154,712,504
INTOUTHH,20181011,9,1204,154,712,504
INTOUTHH,20181011,10,1204,154,712,504
INTOUTHH,20181011,11,1252,154,706,504
INTOUTHH,20181011,12,1250,152,706,504
INTOUTHH,20181011,13,1348,152,758,504
INTOUTHH,20181011,14,1348,134,758,456
INTOUTHH,20181011,15,1462,68,996,310
INTOUTHH,20181011,16,1464,-86,1000,214
INTOUTHH,20181011,17,1498,-236,1058,64
INTOUTHH,20181011,18,1498,-380,1058,0
INTOUTHH,20181011,19,1474,-360,1058,0
INTOUTHH,20181011,20,1314,-412,1058,0
INTOUTHH,20181011,21,338,-402,1060,0
FTR,69
